all_datetime,03805_PRV_1,03805_PRV_2,3807_1,03808_1_1,03808_2_1,3809_1,3810_1,3811_1,3812_1,03814_1_1,03814_2_1
2020-01-13 10:00:00,,,,,,,,14.28,,,
2020-01-13 10:15:00,,,,,,,,15.84,,,
2020-01-13 10:30:00,,,,,,,,15.24,,,
2020-01-13 10:45:00,,,,,,,,16.56,,,
2020-01-13 11:00:00,,,,,,,,14.8,,,
2020-01-13 11:15:00,,,,,,,,14.52,,,
2020-01-13 11:30:00,,,,,,,,14.28,,,
2020-01-13 11:45:00,,,,,,,,15,,,
2020-01-13 12:00:00,,,,,,,,13.16,,,
2020-01-13 12:15:00,,,,,,,,14.28,,,
2020-01-13 12:30:00,,,,,,,,13.52,,,
2020-01-13 12:45:00,,,,,,,,13.96,,,
2020-01-13 13:00:00,,,,,,,,13.68,,,
2020-01-13 13:15:00,,,,,,,,13.32,,,
2020-01-13 13:30:00,,,,,,,,12.84,,,
2020-01-13 13:45:00,,,,,,,,11.96,,,
2020-01-13 14:00:00,,,,,,,,12.48,,,
2020-01-13 14:15:00,,,,,,,,11.24,,,
2020-01-13 14:30:00,,,,,,,,15.08,,,
2020-01-13 14:45:00,,,,,,,,12.08,,,
2020-01-13 15:00:00,,,,,,,,12.08,,,
2020-01-13 15:15:00,,,,,,,,12.4,,,
2020-01-13 15:30:00,,,,,,,,12.2,,,
2020-01-13 15:45:00,,,,,,,,12.28,,,
2020-01-13 16:00:00,,,,,,,,12.12,,,
2020-01-13 16:15:00,,,,,,,,13.72,,,
2020-01-13 16:30:00,,,,,,,,12.64,,,
2020-01-13 16:45:00,,,,,,,,13.52,,,
2020-01-13 17:00:00,,,,,,,,15.72,,,
2020-01-13 17:15:00,,,,,,,,17.52,,,
2020-01-13 17:30:00,,,,,,,,16.92,,,
2020-01-13 17:45:00,,,,,,,,19.48,,,
2020-01-13 18:00:00,,,,,,,,19.16,,,
2020-01-13 18:15:00,,,,,,,,20.2,,,
2020-01-13 18:30:00,,,,,,,,20.52,,,
2020-01-13 18:45:00,,,,,,,,19.92,,,
2020-01-13 19:00:00,,,,,,,,19.92,,,
2020-01-13 19:15:00,,,,,,,,21.12,,,
2020-01-13 19:30:00,,,,,,,,19.88,,,
2020-01-13 19:45:00,,,,,,,,18.48,,,
2020-01-13 20:00:00,,,,,,,,16.28,,,
2020-01-13 20:15:00,,,,,,,,17.44,,,
2020-01-13 20:30:00,,,,,,,,16.8,,,
2020-01-13 20:45:00,,,,,,,,16.72,,,
2020-01-13 21:00:00,,,,,,,,15.4,,,
2020-01-13 21:15:00,,,,,,,,17.48,,,
2020-01-13 21:30:00,,,,,,,,13.16,,,
2020-01-13 21:45:00,,,,,,,,12.96,,,
2020-01-13 22:00:00,,,,,,,,10.88,,,
2020-01-13 22:15:00,,,,,,,,13.44,,,
2020-01-13 22:30:00,,,,,,,,12.16,,,
2020-01-13 22:45:00,,,,,,,,9.28,,,
2020-01-13 23:00:00,,,,,,,,8.4,,,
2020-01-13 23:15:00,,,,,,,,7.76,,,
2020-01-13 23:30:00,,,,,,,,6.44,,,
